Block,TrialInBlock,Trial,SizeOfStimulus,DistanceOfStimulus,SizeSelected,Completed,Attempts,Skipped,RespTime,Gender
0,0,0,4,2,0,True,1,False,4.897003,M
0,1,1,4,1,0,True,1,False,0.2014151,M
0,2,2,4,3,0,True,1,False,0.1850319,M
1,0,3,6,2,0,True,1,False,0.167594,M
1,1,4,6,3,0,True,1,False,0.2692242,M
1,2,5,6,1,0,True,1,False,0.622447,M
2,0,6,6,1,0,True,1,False,0.754364,M
2,1,7,6,3,0,True,1,False,2.000111,M
2,2,8,6,2,0,True,1,False,0.7548151,M
3,0,9,5,1,0,True,1,False,1.225314,M
3,1,10,5,2,0,True,1,False,0.1346045,M
3,2,11,5,3,0,True,1,False,0.1340895,M
4,0,12,4,2,0,True,1,False,0.08374977,M
4,1,13,4,1,0,True,1,False,0.134491,M
4,2,14,4,3,0,True,1,False,0.117569,M
5,0,15,5,2,0,True,1,False,0.08358574,M
5,1,16,5,3,0,True,1,False,0.1338272,M
5,2,17,5,1,0,True,1,False,0.1174889,M
