Block,TrialInBlock,Trial,blockvar,float1,float2,Completed,Attempts,Skipped,RespTime,ParticipantID,Sex
0,0,0,1,1,1,True,1,False,3.452219,0,Male
0,1,1,1,1,2,True,1,False,0.5894909,0,Male
0,2,2,1,1,4,True,1,False,0.2689476,0,Male
0,3,3,1,1,5,True,1,False,0.1513357,0,Male
0,4,4,1,2,1,True,1,False,0.1857901,0,Male
0,5,5,1,2,2,True,1,False,0.2854776,0,Male
0,6,6,1,2,4,True,1,False,0.2023115,0,Male
0,7,7,1,2,5,True,1,False,0.1853943,0,Male
0,8,8,1,3,1,False,0,False,0,0,Male
0,9,9,1,3,2,False,0,False,0,0,Male
0,10,10,1,3,4,False,0,False,0,0,Male
0,11,11,1,3,5,False,0,False,0,0,Male
1,0,12,2,1,1,False,0,False,0,0,Male
1,1,13,2,1,2,False,0,False,0,0,Male
1,2,14,2,1,4,False,0,False,0,0,Male
1,3,15,2,1,5,False,0,False,0,0,Male
1,4,16,2,2,1,False,0,False,0,0,Male
1,5,17,2,2,2,False,0,False,0,0,Male
1,6,18,2,2,4,False,0,False,0,0,Male
1,7,19,2,2,5,False,0,False,0,0,Male
1,8,20,2,3,1,False,0,False,0,0,Male
1,9,21,2,3,2,False,0,False,0,0,Male
1,10,22,2,3,4,False,0,False,0,0,Male
1,11,23,2,3,5,False,0,False,0,0,Male
2,0,24,3,1,1,False,0,False,0,0,Male
2,1,25,3,1,2,False,0,False,0,0,Male
2,2,26,3,1,4,False,0,False,0,0,Male
2,3,27,3,1,5,False,0,False,0,0,Male
2,4,28,3,2,1,False,0,False,0,0,Male
2,5,29,3,2,2,False,0,False,0,0,Male
2,6,30,3,2,4,False,0,False,0,0,Male
2,7,31,3,2,5,False,0,False,0,0,Male
2,8,32,3,3,1,False,0,False,0,0,Male
2,9,33,3,3,2,False,0,False,0,0,Male
2,10,34,3,3,4,False,0,False,0,0,Male
2,11,35,3,3,5,False,0,False,0,0,Male
3,0,36,4,1,1,False,0,False,0,0,Male
3,1,37,4,1,2,False,0,False,0,0,Male
3,2,38,4,1,4,False,0,False,0,0,Male
3,3,39,4,1,5,False,0,False,0,0,Male
3,4,40,4,2,1,False,0,False,0,0,Male
3,5,41,4,2,2,False,0,False,0,0,Male
3,6,42,4,2,4,False,0,False,0,0,Male
3,7,43,4,2,5,False,0,False,0,0,Male
3,8,44,4,3,1,False,0,False,0,0,Male
3,9,45,4,3,2,False,0,False,0,0,Male
3,10,46,4,3,4,False,0,False,0,0,Male
3,11,47,4,3,5,False,0,False,0,0,Male
